"player_name","total_points","Opp_GC_90","was_home","form","prev_tp_avg","xGipg_last7"
"Andre Gray",2,2.1,0,3,4,0.4
"Andre Gray",2,1.7,0,3,4,0.45
"Andre Gray",12,0.9,0,3,4,0.25
"Andre Gray",2,1.8,0,4,4.5,0.35
"Andre Gray",2,1,1,4,4,0.4
"Andre Gray",1,1.6,1,4,4,0.25
"Andre Gray",2,1.4,0,4,4,0.2
"Andre Gray",2,1.3,0,4,4,0.25
"Andrea Ranocchia",12,1.3,0,2,3.5,0.2
"Andrea Ranocchia",2,1.4,0,4,4,0.1
"Andrea Ranocchia",1,1.7,1,4,4,0.1
"Andrea Ranocchia",2,1.3,0,4,4,0.1
"Andrea Ranocchia",11,1.4,1,4,3.5,0.1
"Andrea Ranocchia",1,0.8,0,5.5,4,0.1
"Andrea Ranocchia",7,1.6,0,3.5,4,0.1
"Andrea Ranocchia",5,1.7,1,4.5,4,0.1
"Andrea Ranocchia",8,1.5,0,5,4,0.05
"Andrea Ranocchia",5,1.8,1,6.5,4,0.05
"Andrea Ranocchia",1,1.5,0,5,4,0.05
"Andrew Robertson",2,1.7,0,1,1,0.55
"Andrew Robertson",7,1,1,1.5,1.5,0.25
"Andrew Robertson",2,1.3,1,3,3,0.15
"Andrew Robertson",2,1.5,1,3,4,0.1
"Andrew Robertson",1,1,0,3,4,0.1
"Andrew Robertson",1,1.6,0,3,3.5,0.1
"Andrew Robertson",2,0.8,1,1.5,3.5,0.05
"Andrew Robertson",1,1.3,1,1.5,3.5,0.05
"Andrew Robertson",1,1.4,0,1.5,3.5,0.05
"Andrew Robertson",6,1.1,0,1,3.5,0.05
"Andrew Robertson",6,1.3,0,3,4,0.1
"Andrew Robertson",1,1.4,1,4,4,0.1
"Andrew Robertson",2,1.4,0,4,3.5,0.1
"Andrew Robertson",2,1.3,0,3,3.5,0.1
"Andrew Robertson",10,1.4,1,2.5,3.5,0.1
"Andrew Robertson",1,1.6,0,4,3.5,0.05
"Andrew Robertson",1,1.7,1,3.5,3.5,0.05
"Andrew Robertson",5,1.5,0,3.5,3.5,0.05
"Andrew Robertson",6,1.8,1,4,3.5,0.05
"Andrew Robertson",1,1.5,0,3.5,3.5,0.05
"Andrew Surman",2,1.6,0,1,1,0.1
"Andrew Surman",3,0.8,0,2,2,0.05
"Andrew Surman",2,1.3,1,2,2,0.05
"Andrew Surman",2,1.7,0,2,2,0.05
"Andrew Surman",2,1,1,2,2,0.05
"Andrew Surman",2,1.8,1,2,2.5,0.05
"Andrew Surman",3,1.3,1,2,2.5,0.05
"Andrew Surman",2,1.7,1,2,2.5,0.05
"Andrew Surman",5,1.5,1,2,2.5,0.05
"Andrew Surman",2,0.8,1,3,3,0
"Andrew Surman",2,1.4,0,3,2.5,0
"Andrew Surman",2,1,0,2.5,2.5,0
"Andros Townsend",2,1,0,3,3,0
"Andros Townsend",1,1.7,1,2.5,2.5,0.15
"Andros Townsend",2,1.4,0,2,2,0.15
"Andros Townsend",2,1.6,1,2,2,0.2
"Andros Townsend",14,1.8,0,2,2,0.2
"Andros Townsend",1,1.6,1,4,3.5,0.2
"Andros Townsend",2,1.4,0,4,3.5,0.25
"Andros Townsend",2,0.9,1,4,3,0.25
"Andros Townsend",6,0.8,1,4,3,0.3
"Andros Townsend",3,2.1,0,2.5,3,0.25
"Andros Townsend",8,1.3,0,3,3,0.25
"Andros Townsend",2,1.7,1,4,3.5,0.25
"Andros Townsend",1,1.6,0,4,3,0.25
"Andros Townsend",2,1.3,1,4,3,0.25
"Andros Townsend",3,1.4,0,3,3,0.25
"Andros Townsend",3,1.1,0,4,3,0.3
"Andros Townsend",1,1.5,0,4,3,0.25
"Andros Townsend",8,1.3,1,4,3,0.25
"Andros Townsend",14,1.4,1,5,3.5,0.35
"Andros Townsend",5,0.9,0,7.5,3.5,0.4
"Andros Townsend",2,1.4,1,6,3.5,0.45
"Andros Townsend",2,0.8,0,6,3.5,0.4
"Andros Townsend",3,1,0,2.5,3.5,0.4
"André Ayew",2,1,0,2,4.5,0.2
"André Ayew",8,1.4,0,2,3.5,0.1
"André Ayew",2,1,1,3.5,4,0.3
"André Ayew",7,2.1,0,3.5,4,0.25
"André Ayew",2,1.7,1,4,4,0.4
"André Ayew",2,1.8,0,4,4,0.4
"André Ayew",7,1.3,1,3,4,0.45
"André Ayew",3,1.6,0,4,4,0.55
"André Ayew",3,1,1,3,4,0.35
"André Ayew",6,0.9,1,3.5,4,0.35
"André Ayew",2,1.4,0,4,4,0.4
"Andy Carroll",2,1.7,1,2,2,1.15
"Andy Carroll",2,2.1,1,3,3.5,0.55
"Andy Carroll",2,1.7,0,3,3.5,0.55
"Andy Carroll",8,1.4,0,3,3.5,0.45
"Andy Carroll",2,1,1,3,3.5,0.5
"Andy Carroll",5,1.4,0,3,3.5,0.5
"Andy Carroll",13,0.8,1,4,3.5,0.35
"Andy Carroll",1,1.5,0,6,4,0.4
"Andy Carroll",5,1.4,1,6,4,0.4
"Andy Carroll",2,1.7,0,5,3.5,0.4
"Andy Carroll",2,1.4,1,5,3.5,0.4
"Andy Carroll",5,2.1,0,4.5,3.5,0.35
"Andy Carroll",6,1.3,0,3,3.5,0.55
"Andy Carroll",2,1.7,1,4,3.5,0.6
"Andy Carroll",5,1.3,1,3.5,3.5,0.4
"Andy King",2,1.3,1,5,5,0.2
"Andy King",2,1.4,1,3.5,3,0.35
"Andy King",2,1.8,0,2.5,4,0.15
"Andy King",2,0.8,1,2,3.5,0.1
"Andy King",8,1.7,0,2,3.5,0.1
"Andy King",1,1.6,0,3,4,0.05
"Andy King",3,1.1,1,3,3.5,0.05
"Andy King",1,1.5,0,3,3.5,0.05
"Angel Rangel",1,0.9,1,2,1.5,0.05
"Angel Rangel",1,1.3,0,1.5,1.5,0.05
"Angel Rangel",1,1.3,0,1,2,0.1
"Angel Rangel",1,1.4,0,2,2,0.1
"Angel Rangel",1,1.6,1,2,2,0.1
"Angelo Ogbonna",1,1.7,1,2.5,2.5,0
"Angelo Ogbonna",1,1.4,1,2,2,0.1
"Angelo Ogbonna",2,1.5,0,2,1.5,0.1
