player_name,total_points,Opp_GC_90,was_home,form,prev_tp_avg,xGipg_last7,comp_form
Aleksandar Kolarov,2,5.0,1,1.0,1.0,1.0,1.0
Aleksandar Kolarov,2,5.0,1,1.0,1.0,1.0,1.0
Aleksandar Kolarov,6,5.0,0,1.0,1.0,1.0,1.0
Aleksandar Kolarov,1,2.0,0,1.0,1.0,1.0,1.0
Aleksandar Kolarov,1,4.0,0,1.0,1.0,1.0,1.0
Aleksandar Kolarov,2,4.0,0,1.0,1.0,1.0,2.0
Aleksandar Kolarov,2,4.0,0,1.0,1.0,1.0,2.0
Aleksandar Kolarov,11,5.0,1,1.0,1.0,1.0,1.0
Aleksandar Kolarov,6,3.0,1,2.0,1.0,1.0,2.0
Aleksandar Kolarov,2,6.0,0,3.0,1.0,1.0,2.0
Aleksandar Kolarov,6,2.0,0,3.0,1.0,1.0,2.0
Aleksandar Kolarov,2,4.0,1,3.0,1.0,1.0,3.0
Aleksandar Kolarov,1,3.0,0,3.0,1.0,1.0,3.0
Aleksandar Kolarov,6,5.0,1,1.0,1.0,1.0,1.0
Aleksandar Kolarov,2,5.0,0,1.0,1.0,1.0,2.0
Aleksandar Kolarov,9,5.0,1,1.0,1.0,1.0,1.0
Aleksandar Kolarov,7,4.0,0,3.0,2.0,1.0,3.0
Aleksandar Kolarov,1,4.0,1,3.0,2.0,1.0,3.0
Aleksandar Kolarov,2,5.0,0,3.0,2.0,1.0,2.0
Alex Iwobi,3,4.0,0,1.0,1.0,1.0,1.0
Alex Iwobi,3,4.0,0,3.0,3.0,2.0,3.0
Alex Iwobi,3,5.0,1,2.0,2.0,2.0,2.0
Alex Iwobi,2,4.0,1,3.0,2.0,2.0,2.0
Alex Iwobi,3,6.0,0,3.0,2.0,2.0,2.0
Alex Iwobi,2,2.0,1,3.0,2.0,2.0,2.0
Alex Iwobi,2,2.0,0,1.0,2.0,2.0,1.0
Alex Iwobi,3,4.0,1,1.0,2.0,1.0,1.0
Alex Iwobi,2,5.0,0,2.0,3.0,2.0,2.0
Alex Iwobi,10,4.0,1,2.0,2.0,2.0,2.0
Alex Iwobi,3,5.0,1,3.0,3.0,2.0,3.0
Alex Iwobi,9,2.0,0,3.0,3.0,2.0,3.0
Alex Iwobi,2,6.0,1,4.0,3.0,2.0,4.0
Alex Iwobi,3,2.0,0,3.0,3.0,2.0,3.0
Alex Iwobi,2,4.0,0,3.0,2.0,2.0,3.0
Alex Oxlade-Chamberlain,3,5.0,0,1.0,1.0,1.0,1.0
Alex Oxlade-Chamberlain,2,4.0,1,1.0,1.0,1.0,1.0
